Paper,Venue,Year,Evidence_Domain,Peer_Reviewed_CCF_Core,Persistent_ID,Exact_Paper_URL,Official_Code_URL,Code_Status,Source_Checked_Date
XMusic: Towards a Generalized and Controllable Symbolic Music Generation Framework,IEEE Transactions on Multimedia,2025,Editing / control,YES,DOI:10.1109/TMM.2025.3590912,https://doi.org/10.1109/TMM.2025.3590912,https://xmusic-project.github.io/,OFFICIAL_CODE_LOCKED,2026-09-07
Universal Source Separation With Weakly Labelled Data for Computational Auditory Scene Analysis,IEEE/ACM TASLP,2025,Separation / restoration / production,YES,DOI:10.1109/TASLPRO.2025.3636294,https://doi.org/10.1109/TASLPRO.2025.3636294,NO_OFFICIAL_CODE_LOCATED_AFTER_TARGETED_SEARCH_2026-09-07,NO_OFFICIAL_CODE_LOCATED_AFTER_TARGETED_SEARCH_2026-09-07,2026-09-07
Perceptual Errors in Music Source Separation: Looking Beyond SDR Averages,ISMIR,2025,Evaluation / robustness,YES,Zenodo:17811573,https://zenodo.org/records/17811573,NO_OFFICIAL_CODE_LOCATED_AFTER_TARGETED_SEARCH_2026-09-07,NO_OFFICIAL_CODE_LOCATED_AFTER_TARGETED_SEARCH_2026-09-07,2026-09-07
ITO-Master: Inference-Time Optimization for Audio Effects Modeling of Music Mastering Processors,ISMIR,2025,Separation / restoration / production,YES,arXiv:2506.16889,https://arxiv.org/abs/2506.16889,https://github.com/SonyResearch/ITO-Master,OFFICIAL_CODE_LOCKED,2026-09-07
Universal Music Representations? Evaluating Foundation Models on World Music Corpora,ISMIR,2025,Evaluation / robustness,YES,arXiv:2506.17055,https://arxiv.org/abs/2506.17055,https://github.com/pxaris/FM-music-tagging,OFFICIAL_CODE_LOCKED,2026-09-07
Instruct-MusicGen: Unlocking Text-to-Music Editing for Music Language Models via Instruction Tuning,ISMIR,2025,Evaluation / robustness,YES,arXiv:2405.18386,https://arxiv.org/abs/2405.18386,https://github.com/ldzhangyx/instruct-MusicGen,OFFICIAL_CODE_LOCKED,2026-09-07
MuseControlLite: Multifunctional Music Generation with Lightweight Conditioners,ICML,2025,Editing / control,YES,PMLR:v267-tsai25a,https://proceedings.mlr.press/v267/tsai25a.html,https://MuseControlLite.github.io/web/,OFFICIAL_CODE_LOCKED,2026-09-07
Generative Audio Language Modeling with Continuous-valued Tokens and Masked Next-Token Prediction,ICML,2025,Generation,YES,PMLR:v267-yang25n,https://proceedings.mlr.press/v267/yang25n.html,NO_OFFICIAL_CODE_LOCATED_AFTER_TARGETED_SEARCH_2026-09-07,NO_OFFICIAL_CODE_LOCATED_AFTER_TARGETED_SEARCH_2026-09-07,2026-09-07
ETTA: Elucidating the Design Space of Text-to-Audio Models,ICML,2025,Generation,YES,PMLR:v267-lee25m,https://proceedings.mlr.press/v267/lee25m.html,NO_OFFICIAL_CODE_LOCATED_AFTER_TARGETED_SEARCH_2026-09-07,NO_OFFICIAL_CODE_LOCATED_AFTER_TARGETED_SEARCH_2026-09-07,2026-09-07
IMPACT: Iterative Mask-based Parallel Decoding for Text-to-Audio Generation with Diffusion Modeling,ICML,2025,Generation,YES,PMLR:v267-huang25ap; arXiv:2506.00736,https://proceedings.mlr.press/v267/huang25ap.html,https://audio-impact.github.io/,OFFICIAL_CODE_LOCKED,2026-09-07
ALMTokenizer: A Low-bitrate and Semantic-rich Audio Codec Tokenizer for Audio Language Modeling,ICML,2025,Representation / codec,YES,PMLR:v267-yang25q; arXiv:2504.10344,https://proceedings.mlr.press/v267/yang25q.html,https://github.com/yangdongchao/ALMTokenizer,OFFICIAL_CODE_LOCKED,2026-09-07
Efficient Fine-Grained Guidance for Diffusion Model Based Symbolic Music Generation,ICML,2025,Editing / control,YES,PMLR:v267-zhu25m,https://proceedings.mlr.press/v267/zhu25m.html,https://github.com/huajianduzhuo-code/FGG-music-code,OFFICIAL_CODE_LOCKED,2026-09-07
Sounding that Object: Interactive Object-Aware Image to Audio Generation,ICML,2025,Multimodal,YES,PMLR:v267-li25ai,https://proceedings.mlr.press/v267/li25ai.html,NO_OFFICIAL_CODE_LOCATED_AFTER_TARGETED_SEARCH_2026-09-07,NO_OFFICIAL_CODE_LOCATED_AFTER_TARGETED_SEARCH_2026-09-07,2026-09-07
Live Music Models,NeurIPS,2025,Generation,YES,arXiv:2508.04651,https://proceedings.neurips.cc/paper_files/paper/2025/hash/6a2b9382fa7c131ed57aa7e6b2587e5e-Abstract-Creative_AI_Track.html,https://github.com/magenta/magenta-realtime,OFFICIAL_CODE_LOCKED,2026-09-07
LeVo: High-Quality Song Generation with Multi-Preference Alignment,NeurIPS,2025,Generation,YES,DOI:10.52202/085713-3427; arXiv:2506.07520,https://proceedings.neurips.cc/paper_files/paper/2025/hash/944f0b5d4f224f8d2a30e65082b51b76-Abstract-Conference.html,https://github.com/tencent-ailab/songgeneration,OFFICIAL_CODE_LOCKED,2026-09-07
SongBloom: Coherent Song Generation via Interleaved Autoregressive Sketching and Diffusion Refinement,NeurIPS,2025,Generation,YES,DOI:10.52202/085713-1150; arXiv:2506.07634,https://proceedings.nips.cc/paper_files/paper/2025/hash/3107ddd4209e5f93c0371425763041a3-Abstract-Conference.html,https://github.com/tencent-ailab/SongBloom,OFFICIAL_CODE_LOCKED,2026-09-07
MuPT: A Generative Symbolic Music Pretrained Transformer,ICLR,2025,Symbolic,YES,arXiv:2404.06393,https://proceedings.iclr.cc/paper_files/paper/2025/hash/73f6f8897896f7bda86ea7d1ebc1dc4f-Abstract-Conference.html,NO_OFFICIAL_CODE_LOCATED_AFTER_TARGETED_SEARCH_2026-09-07,NO_OFFICIAL_CODE_LOCATED_AFTER_TARGETED_SEARCH_2026-09-07,2026-09-07
WildScore: Benchmarking MLLMs in-the-Wild Symbolic Music Reasoning,EMNLP,2025,Music understanding / Music-LM,YES,DOI:10.18653/v1/2025.emnlp-main.853,https://aclanthology.org/2025.emnlp-main.853/,https://github.com/GaganVM/WildScore,OFFICIAL_CODE_LOCKED,2026-09-07
Music Source Restoration,IEEE MMSP,2025,Separation / restoration / production,NO_ADJACENT_MMSP_NOT_TARGET_CCF_AB_CORE,DOI:10.1109/MMSP64401.2025.11324269; arXiv:2505.21827,https://doi.org/10.1109/MMSP64401.2025.11324269,https://github.com/yongyizang/music-source-restoration,OFFICIAL_CODE_LOCKED,2026-09-07
Aligning Text-to-Music Evaluation With Human Preferences,ISMIR,2025,Evaluation / robustness,YES,arXiv:2503.16669,https://arxiv.org/abs/2503.16669,https://github.com/i-need-sleep/mad,OFFICIAL_CODE_LOCKED,2026-09-07
A Fourier Explanation of AI-music Artifacts,ISMIR,2025,Evaluation / robustness,YES,arXiv:2506.19108,https://arxiv.org/abs/2506.19108,https://github.com/deezer/ismir25-ai-music-detector,OFFICIAL_CODE_LOCKED,2026-09-07
Tuning Matters: Analyzing Musical Tuning Bias in Neural Vocoders,ISMIR,2025,Evaluation / robustness,YES,ISMIR2025:P2-6,https://ismir2025program.ismir.net/poster_199.html,NO_OFFICIAL_CODE_LOCATED_AFTER_TARGETED_SEARCH_2026-09-07,NO_OFFICIAL_CODE_LOCATED_AFTER_TARGETED_SEARCH_2026-09-07,2026-09-07
LiLAC: A Lightweight Latent ControlNet for Musical Audio Generation,ISMIR,2025,Editing / control,NO_TIER_C,,,,,
CoDiCodec: Unifying Continuous and Discrete Compressed Representations of Audio,ISMIR,2025,Representation / codec,NO_TIER_C,,,,,
TOMI: Transforming and Organizing Music Ideas for Multi-Track Compositions with Full-Song Structure,ISMIR,2025,Symbolic,NO_TIER_C,,,,,
Scaling Self-Supervised Representation Learning for Symbolic Piano Performance,ISMIR,2025,Representation / codec,NO_TIER_C,,,,,
CultureMERT: Continual Pre-Training for Cross-Cultural Music Representation Learning,ISMIR,2025,Representation / codec,YES,arXiv:2506.17818,https://arxiv.org/abs/2506.17818,https://huggingface.co/ntua-slp/CultureMERT-95M,OFFICIAL_CODE_LOCKED,2026-09-07
Towards Robust Automatic Music Transcription By Measuring Cross-Version Consistency,ISMIR,2025,Singing / transcription / performance,YES,DOI:10.5281/zenodo.17811552,https://doi.org/10.5281/zenodo.17811552,NO_OFFICIAL_CODE_LOCATED_AFTER_TARGETED_SEARCH_2026-09-07,NO_OFFICIAL_CODE_LOCATED_AFTER_TARGETED_SEARCH_2026-09-07,2026-09-07
RISE: Music Rearrangement for Realtime Intensity Synchronization With Exercise,ISMIR,2025,Generation,NO_TIER_C,,,,,
MIDI-VALLE: Improving Expressive Piano Performance Synthesis Through Neural Codec Language Modelling,ISMIR,2025,Representation / codec,NO_TIER_C,,,,,
AI-Generated Song Detection via Lyrics Transcripts,ISMIR,2025,Evaluation / robustness,NO_TIER_C,,,,,
Beyond Genre: Diagnosing Bias in Music Embeddings Using Concept Activation Vectors,ISMIR,2025,Representation / codec,NO_TIER_C,,,,,
PianoBind: A Multi-Modal Joint Embedding Model for Pop-Piano Music,ISMIR,2025,Representation / codec,NO_TIER_C,,,,,
SLAP: Siamese Language-Audio Pretraining Without Negative Samples for Music Understanding,ISMIR,2025,Music understanding / Music-LM,YES,arXiv:2506.17815,https://arxiv.org/abs/2506.17815,https://github.com/Pliploop/SLAP,OFFICIAL_CODE_LOCKED,2026-09-07
DeepResonance: Enhancing Multimodal Music Understanding via Music-centric Multi-way Instruction Tuning,EMNLP,2025,Music understanding / Music-LM,YES,DOI:10.18653/v1/2025.emnlp-main.653; arXiv:2502.12623,https://aclanthology.org/2025.emnlp-main.653/,https://github.com/sony/DeepResonance,OFFICIAL_CODE_LOCKED,2026-09-07
When Audio and Text Disagree: Revealing Text Bias in Large Audio-Language Models,EMNLP,2025,Music understanding / Music-LM,YES,DOI:10.18653/v1/2025.emnlp-main.246; arXiv:2508.15407,https://aclanthology.org/2025.emnlp-main.246/,https://github.com/WangCheng0116/MCR-BENCH,OFFICIAL_CODE_LOCKED,2026-09-07
QA-MDT: Quality-aware Masked Diffusion Transformer for Enhanced Music Generation,IJCAI,2025,Generation,YES,DOI:10.24963/ijcai.2025/1126,https://www.ijcai.org/proceedings/2025/1126,https://github.com/ivcylc/OpenMusic,OFFICIAL_CODE_LOCKED,2026-09-07
GETMusic,IJCAI,2025,Symbolic,NO_TIER_C,,,,,
NotaGen: Advancing Musicality in Symbolic Music Generation with Large Language Model Training Paradigms,IJCAI,2025,Symbolic,YES,DOI:10.24963/ijcai.2025/1134; arXiv:2502.18008,https://www.ijcai.org/proceedings/2025/1134,NO_OFFICIAL_CODE_LOCATED_AFTER_TARGETED_SEARCH_2026-09-07,NO_OFFICIAL_CODE_LOCATED_AFTER_TARGETED_SEARCH_2026-09-07,2026-09-07
METEOR,IJCAI,2025,Representation / codec,NO_TIER_C,,,,,
Visual Piano Transcription,IJCAI,2025,Singing / transcription / performance,NO_TIER_C,,,,,
Controllable Video-to-Music Generation with Multiple Time-Varying Conditions,ACM MM,2025,Multimodal,YES,DOI:10.1145/3746027.3755656; arXiv:2507.20627,https://doi.org/10.1145/3746027.3755656,https://kita-wjx.github.io/MCV2M/,OFFICIAL_CODE_LOCKED,2026-09-07
