Paper,Year,Venue,Area,CCF_AB_core,Task,Input,Output,Model_architecture,Parameter_count,Dataset,Benchmark_registry,Official_code_or_project_URL,Release_status,Weights_status,Data_access_status,Checked_revision,Revision_status
"Arrange, Inpaint, and Refine: Steerable Long-Term Music Audio Generation and Editing",2024,IJCAI,Editing / control,NO_TIER_C,Long-form music generation/editing,Music/audio controls,Long-form/edited music,Not yet verified,Not yet verified,Not yet verified,,https://github.com/Kikyo-16/airgen,official code/project checked 2026-09-18,"Yes — drums, chord, and piano model weights are linked from the official repository.",Demo inputs are provided; full training-data release was not verified in this pass.,4c5d1959ba2a2095be5258b9b2e998fb2ddd666f,LOCKED
DITTO: Diffusion Inference-Time T-Optimization for Music Generation,2024,ICML,Editing / control,NO_TIER_C,Controllable music generation,Prompt + differentiable objective,Controlled music,Not yet verified,Not yet verified,Not yet verified,,,not indexed,Unknown / not yet verified,Unknown / not yet verified,,
High Fidelity Text-Guided Music Editing via Single-Stage Flow Matching (MelodyFlow),2024,NeurIPS 2024 Workshop: Audio Imagination,Editing / control,NO_WORKSHOP_NOT_CCF_CORE,Music editing / generation,Music + text condition / editing strength,Edited music,Flow-matching music model with inversion/editing trajectory,Not yet extracted,Large music training data; not fully public,,https://melodyflow.github.io/,workshop resource checked,Yes,Training data not fully public,,
MusicMagus: Zero-Shot Text-to-Music Editing via Diffusion Models,2024,IJCAI,Editing / control,YES,Zero-shot text-to-music editing,Music + text edit,Edited music,Training-free latent text manipulation for pretrained diffusion TTM with consistency constraint.,Not yet verified,Not yet verified,,https://github.com/ldzhangyx/MusicMagus,official code checked,Unknown / not yet verified,Unknown / not yet verified,ef69ef6955a963955015c05e3a021a6b31f80b16,LOCKED
SongCreator: Lyrics-based Universal Song Generation,2024,NeurIPS,Editing / control,NO_TIER_C,Song generation / editing,Lyrics/audio prompts/stems,Song/vocals/accompaniment,Not yet verified,Not yet verified,Not yet verified,,,not indexed,Unknown / not yet verified,Unknown / not yet verified,,
MuChin: A Chinese Colloquial Description Benchmark for Evaluating Language Models in the Field of Music,2024,IJCAI,Music understanding / Music-LM,YES,Music understanding / multimodal LLM benchmark / colloquial description,Music audio,Chinese colloquial music descriptions / benchmark scores,Benchmark/data methodology; evaluates existing music-understanding models and fine-tuning with annotated data.,,"CaiMD plus 1,000 high-quality benchmark entries; multi-person multi-stage annotation platform.",YES,https://github.com/CarlWangChina/MuChin,official code checked,,Yes,be09ac633cfc4792100e7c2d2c88fdbc71bf33cf,LOCKED
Perception-Inspired Graph Convolution for Music Understanding Tasks,2024,IJCAI,Representation / codec,YES,Symbolic music understanding / graph representation,Symbolic score graphs,Task predictions,"MusGConv, a perception-inspired graph convolution using pitch/rhythm relative and absolute relations.",,"Four task datasets: voice separation, harmonic analysis, cadence detection, composer identification.",,https://github.com/manoskary/musgconv,official code checked,Yes,,7056e85a1d63ab12db35c41cdf79543e657eb998,LOCKED
Music Source Separation with Band-Split RoPE Transformer,2024,ICASSP,Separation / restoration / production,NO_TIER_C,Music source separation,Music mixture,Separated stems,Not yet verified,Not yet verified,Not yet verified,,,not indexed,Unknown / not yet verified,Unknown / not yet verified,,
SCNet: Sparse Compression Network for Music Source Separation,2024,ICASSP-era / arXiv,Separation / restoration / production,NO_TIER_C,Music source separation,Music mixture,Separated stems,Not yet verified,Not yet verified,Not yet verified,,,not indexed,Unknown / not yet verified,Unknown / not yet verified,,
Separate Anything You Describe,2024,IEEE/ACM TASLP,Separation / restoration / production,YES,Open-domain source separation / audio foundation model,Audio mixture + language query,Separated target waveform,Language-queried universal separator (AudioSep),Not extracted here,"AudioSet, VGGSound, AudioCaps, Clotho, MUSIC, ESC-50, DCASE, Voicebank-Demand",,https://github.com/Audio-AGI/AudioSep,official code checked,Yes,Several evaluation datasets public; training mixture/data details mixed,944583f18b84589dc965de3ad77525c945334252,LOCKED
