Paper,Year,Venue,Area,CCF_AB_core,Task,Input,Output,Model_architecture,Parameter_count,Dataset,Benchmark_registry,Official_code_or_project_URL,Release_status,Weights_status,Data_access_status,Checked_revision,Revision_status
ACE-Step 1.5: Open Music Foundation Model Ecosystem Release,2026,Open-source ecosystem / technical release,Editing / control,NO_ECOSYSTEM_ONLY,Full-song generation / editing / personalization,Text/lyrics/style/reference audio/task controls,10s–10min generated/edited music,Hybrid LM planner + DiT; 2B and XL 4B DiT variants; 0.6B/1.7B/4B 5Hz LM variants,2B DiT family; XL 4B DiT family; 0.6B/1.7B/4B LM options,Training data not treated as fully reproducible in this database,,https://github.com/ace-step/ACE-Step-1.5,ecosystem release,Yes — official model downloader/checkpoints,Not strict-training reproducible from current release alone,ca1e85fe9430179831e6bc6be790c332190a3866,LOCKED
BeatEdit: Symbolic Music Generation as Explicit Editing,2026,ACM MM,Editing / control,YES,Symbolic music editing / generation,Symbolic score/MIDI + edit task,Edited / completed symbolic music,Beat encoding + Music BERT + SeqTag / Levenshtein-style IterEdit / TagFill variants,Multiple compact symbolic models; exact counts in paper/repo,MuseScore/Lakh-based preprocessing; exact splits in paper/repo,,https://github.com/Haoyu-Gu/BeatEdit-code,official code checked,Repo includes reproduction structure; checkpoint population depends on release state,Datasets downloadable/convertible,dc5e6a869bcf464f33270eac035feda9b6f782eb,LOCKED
Diffusion Timbre Transfer Via Mutual Information Guided Inpainting,2026,ICASSP,Editing / control,YES,Training-free audio/music timbre transfer,Music audio + target timbre/reference,Timbre-transferred audio,Mutual-information-guided channel selection/noise injection with early-step clamping during diffusion inpainting.,Pending,Pending,,NO_OFFICIAL_CODE_LOCATED_AFTER_TARGETED_SEARCH_2026-09-07,no official code located in targeted search,Not verified,Pending,,
MIDILM: A Dual-Path Model for Controllable Text-to-MIDI Generation,2026,AAAI,Editing / control,YES,Text-to-MIDI / symbolic controllable generation,Free-form text description,MIDI / symbolic token sequence,"Prefix-conditioned decoder with shared masked self-attention, text-side MLP path and MIDI-side sparse MoE path (modality isolation)",Not yet verified,MidiCaps; SymphonyNet pseudo-text pretraining described in paper,,https://github.com/Large-Multimodal-Model-Lab/MIDILM,official code checked,Not yet verified,MidiCaps public; exact training data pipeline still being normalized,704fbc5ad2d3da1c95c879d5e35e636b2eed80b6,LOCKED
Muse: Towards Reproducible Long-Form Song Generation with Fine-Grained Style Control,2026,Findings of ACL,Editing / control,YES,Long-form song generation / control,Structured lyrics + global style + segment style,Multi-minute song audio,Qwen-based autoregressive audio-language model with MuCodec discrete audio tokens,0.6B main; scaling experiments 1.7B/4B/8B,"116k fully licensed synthetic songs, 2–6 minutes, generated with SunoV5 and annotated with structured lyrics/style",YES,https://github.com/yuhui1038/Muse,official code checked,Yes,Yes,dbc22f83eac3e3e3a6bd44eba2e1c774588c5ff1,LOCKED
Polyphonia: Zero-Shot Timbre Transfer in Polyphonic Music with Acoustic-Informed Attention Calibration,2026,ICML,Editing / control,YES,Timbre transfer / editing,Polyphonic music + target timbre condition,Timbre-transferred polyphonic audio,Training-free AudioLDM2-based zero-shot editor using Acoustic-Informed Attention Calibration: semantic cross-attention is calibrated with probabilistic acoustic priors/soft masks.,Not yet verified,"PolyEvalPrompts: 1,170 stem-specific timbre-transfer tasks on MUSDB18-HQ test and MusicDelta; audio obtained under source-dataset licenses.",,https://github.com/Ltx-Leif/polyphonia,official code checked,Uses pretrained AudioLDM2 rather than a new Polyphonia checkpoint.,Prompt files public; MUSDB18-HQ/MusicDelta audio must be prepared separately under their licenses.,26a5fca9f3ee2465ff3ee9b59a3411bfe1f1b0dc,LOCKED
SteerMusic,2026,AAAI,Editing / control,NO_TIER_C,Controllable music generation,Text/control signals,Controlled music,Not yet verified,Not yet verified,Not yet verified,,https://github.com/sony/steermusic,official code/project checked 2026-09-18,Uses pretrained AudioLDM2; an example personalized DreamSound checkpoint is linked for SteerMusic+.,No dedicated SteerMusic training dataset release was verified in this pass.,9d2008b8515f9c8a83c956ddb23ab83b55e19709,LOCKED
Automatic Song Aesthetics Evaluation Challenge,2026,ICASSP,Evaluation / robustness,YES,Evaluation / full-song aesthetics,Full-length generated song audio,Overall score and/or five aesthetic dimension scores,Challenge benchmark; reproducible SongEval-based baseline,Baseline dependent; to be extracted,"SongEval: 2,399 full-length songs, approx. 140.3 h; English/Mandarin; multiple genres; test songs span 10+ open/commercial generators",,https://aslp-lab.github.io/Automatic-Song-Aesthetics-Evaluation-Challenge/,official code checked,Baseline model available through challenge ecosystem; exact checkpoint card pending,Yes — official challenge describes SongEval as open-source,,
Beethoven Symphony Excerpt Dataset (BSED): An Evaluation Dataset for Orchestral Music Transcription,2026,TISMIR,Evaluation / robustness,YES,Automatic music transcription / orchestral evaluation dataset,Orchestral audio + aligned score/reference,AMT/evaluation data,Dataset/evaluation resource,,"BSED: 20 Beethoven symphony score excerpts, each with five synchronized audio versions (4 real concert recordings + 1 synthetic); BSD is larger accompanying training set.",,https://www.audiolabs-erlangen.de/resources/MIR/2026-BSED-BSD,official code checked,,Yes — Zenodo,,
CMI-RewardBench: Evaluating Music Reward Models with Compositional Multimodal Instruction,2026,ICML,Evaluation / robustness,YES,Evaluation / reward modeling,Music audio + text/instruction + candidate generations,Preference / reward scores,Audio-text reward model with multiple trainable heads,Trainable heads reported at 8.3M / 38M / 102M,"110k pseudo-preference pairs; 797 h generated audio; 4,027 human preference labels; outputs from 23 generation models",YES,https://github.com/Haiwen-Xia/CMI-RewardBench,official code checked,Yes,Yes,9235ef5c34106b63669958adfaa2eab61bd0e2cd,LOCKED
Fine-Tuning BigVGAN-V2 for Robust Musical Tuning Preservation,2026,ICASSP,Evaluation / robustness,YES,Neural vocoder / tuning robustness / fine-tuning,Mel-spectrogram / acoustic representation across varied tunings,Waveform preserving tuning and quality,Targeted fine-tuning of BigVGAN-V2,BigVGAN-V2 ~112M family,Natural tuning variation and pitch-shift augmented training data; exact dataset composition remains to be normalized from full paper.,,https://www.audiolabs-erlangen.de/resources/MIR/2026-ICASSP-VocoderFineTuning,official code checked,Base BigVGAN-V2 public; fine-tuned checkpoint state not yet verified,Mixed / pending exact normalization,,
GOMPSNR: Reflourish the Signal-to-Noise Ratio Metric for Audio Generation Tasks,2026,AAAI,Evaluation / robustness,YES,Audio evaluation / perceptual metric / vocoder loss,Reference + generated/reconstructed audio,Objective quality/error score; phase-aware losses,Phase-distance reformulation of SNR (GOMPSNR) + magnitude-guided phase and joint magnitude-phase losses,N/A metric,Neural-vocoder experiments; exact datasets pending full PDF,,NO_OFFICIAL_CODE_LOCATED_AFTER_TARGETED_SEARCH_2026-09-07,no official code located in targeted search,N/A/unknown,Pending,,
MusicDET: Zero-Shot AI-Generated Music Detection,2026,ICML,Evaluation / robustness,YES,AI-generated music detection,Music audio,Real/generated probability,Frequency-guided normalizing-flow / likelihood-based zero-shot detector trained only on real music; uses public pretrained audio backbones.,Not yet extracted,Real-music training + unseen-generator tests; exact corpus pending,,https://github.com/Chaolei98/MusicDET,official code checked,Backbones public (e.g. MERT / wav2vec variants); no complete official MusicDET detector checkpoint was found in checked repo.,Evaluation uses public/generated-music benchmark sources; some training CSV/resources are separately linked.,087a758955a638dca68ef0dcbb81107fce48d60f,LOCKED
Summary of The Inaugural Music Source Restoration Challenge,2026,ICASSP,Evaluation / robustness,YES,Music source restoration / benchmark,Fully mixed/mastered music,Restored unprocessed-like stems,"Challenge summary; systems include cascaded BS-RoFormer, BSRNN/MDX23 ensembles and restoration modules",System dependent,RawStems + challenge evaluation sets; top systems also use MoisesDB and other data per system reports,,https://msrchallenge.com/,official challenge resource checked,Several baseline/community checkpoints available,RawStems release status documented; exact license/access normalization pending,,
